,threshold,infected_agents
1401,0.25,212
1402,0.25,204
1403,0.25,202
1404,0.25,202
1405,0.25,196
1406,0.25,192
1407,0.25,191
1408,0.25,181
1409,0.25,188
1410,0.25,190
1411,0.25,191
1412,0.25,192
1413,0.25,195
1414,0.25,199
1415,0.25,203
1416,0.25,204
1417,0.25,202
1418,0.25,203
1419,0.25,200
1420,0.25,197
1421,0.25,191
1422,0.25,195
1423,0.25,194
1424,0.25,193
1425,0.25,200
1426,0.25,204
1427,0.25,205
1428,0.25,209
1429,0.25,212
1430,0.25,211
1431,0.25,211
1432,0.25,208
1433,0.25,205
1434,0.25,206
1435,0.25,211
1436,0.25,205
1437,0.25,208
1438,0.25,207
1439,0.25,205
1440,0.25,203
1441,0.25,198
1442,0.25,194
1443,0.25,196
1444,0.25,203
1445,0.25,208
1446,0.25,207
1447,0.25,212
1448,0.25,212
1449,0.25,206
1450,0.25,204
1451,0.25,196
1452,0.25,196
1453,0.25,191
1454,0.25,196
1455,0.25,199
1456,0.25,202
1457,0.25,202
1458,0.25,193
1459,0.25,192
1460,0.25,193
1461,0.25,198
1462,0.25,197
1463,0.25,201
1464,0.25,199
1465,0.25,206
1466,0.25,200
1467,0.25,204
1468,0.25,206
1469,0.25,202
1470,0.25,196
1471,0.25,194
1472,0.25,201
1473,0.25,194
1474,0.25,198
1475,0.25,196
1476,0.25,197
1477,0.25,195
1478,0.25,198
1479,0.25,200
1480,0.25,201
1481,0.25,203
1482,0.25,201
1483,0.25,211
1484,0.25,209
1485,0.25,210
1486,0.25,214
1487,0.25,212
1488,0.25,205
1489,0.25,206
1490,0.25,209
1491,0.25,210
1492,0.25,205
1493,0.25,195
1494,0.25,191
1495,0.25,193
1496,0.25,197
1497,0.25,200
1498,0.25,202
1499,0.25,203
1500,0.25,198
1501,0.25,199
1502,0.25,199
1503,0.25,199
1504,0.25,202
1505,0.25,199
1506,0.25,204
1507,0.25,203
1508,0.25,209
1509,0.25,204
1510,0.375,113
1511,0.375,147
1512,0.375,172
1513,0.375,190
1514,0.375,209
1515,0.375,222
1516,0.375,233
1517,0.375,237
1518,0.375,239
1519,0.375,242
1520,0.375,245
1521,0.375,246
1522,0.375,246
1523,0.375,246
1524,0.375,159
1525,0.375,159
1526,0.375,170
1527,0.375,174
1528,0.375,180
1529,0.375,189
1530,0.375,197
1531,0.375,211
1532,0.375,217
1533,0.375,221
1534,0.375,223
1535,0.375,226
1536,0.375,233
1537,0.375,236
1538,0.375,218
1539,0.375,195
1540,0.375,182
1541,0.375,178
1542,0.375,175
1543,0.375,177
1544,0.375,173
1545,0.375,184
1546,0.375,194
1547,0.375,201
1548,0.375,208
1549,0.375,215
1550,0.375,217
1551,0.375,221
1552,0.375,219
1553,0.375,218
1554,0.375,212
1555,0.375,207
1556,0.375,200
1557,0.375,194
1558,0.375,195
1559,0.375,185
1560,0.375,181
1561,0.375,184
1562,0.375,191
1563,0.375,193
1564,0.375,199
1565,0.375,203
1566,0.375,212
1567,0.375,212
1568,0.375,209
1569,0.375,205
1570,0.375,203
1571,0.375,199
1572,0.375,199
1573,0.375,196
1574,0.375,196
1575,0.375,191
1576,0.375,194
1577,0.375,197
1578,0.375,208
1579,0.375,215
1580,0.375,211
1581,0.375,211
